City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
281,Bani,DO,78.85,18.2833,-70.3333,Hospedaje Henriquez
285,Najran,SA,65.05,17.4924,44.1277,محمد هادي ال فطيح
286,Praia Da Vitoria,PT,60.76,38.7333,-27.0667,Hotel Branco I
287,Millinocket,US,62.71,45.6573,-68.7098,Katahdin Inn & Suites
288,Inirida,CO,80.83,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
289,Suffolk,US,70.41,40.8668,-72.7996,Greenwood Village
291,Mucurapo,TT,84.96,10.6667,-61.5333,Courtyard by Marriott Port of Spain
292,Sur,OM,79.92,22.5667,59.5289,Sur Plaza Hotel
293,Tukrah,LY,70.5,32.5341,20.5791,Lagrota restaurant
294,Bushehr,IR,75.29,28.9684,50.8385,Yas Hotel
295,Itarema,BR,78.71,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
297,Berbera,SO,82.94,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
299,Desdunes,HT,81.75,19.2955,-72.646,Tèmitan
300,Amarante Do Maranhao,BR,77.52,-5.5667,-46.7422,Hotéis Caçulinha
301,Urbano Santos,BR,78.21,-3.2078,-43.4036,Pousada Santa Dulce
302,Turiacu,BR,78.87,-1.6633,-45.3717,Pousada Maranata
303,Bereda,ES,59.41,43.2686,-7.5406,Pazo de Verdes
304,Mombasa,KE,75.72,-4.0547,39.6636,New Palm Tree Hotel
305,Porto Tolle,IT,65.34,44.9497,12.3245,Klaus sas di Boscolo Claudio & c.
310,Asfi,MA,74.3,32.2994,-9.2372,Hôtel Abda
312,Abnub,EG,68.22,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
313,Sandi,IN,68.83,27.3,79.95,देवल सदन
314,Nyimba,ZM,77.43,-14.5566,30.8149,Dali Dali Lodge
315,Cocobeach,GA,77.13,1.0002,9.5823,Hotel Esperance
317,Saint-Georges,GD,83.88,12.0564,-61.7485,Radisson Grenada Beach Resort
318,Lastoursville,GA,72.09,-0.8143,12.7287,Auberge Bon Coin 02
320,Awjilah,LY,68.63,29.1081,21.2869,المنزل
323,Grand Gaube,MU,73.38,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
325,Iringa,TZ,61.39,-7.7667,35.7,M.R. Hotels ltd.
326,Porto Novo,BJ,76.82,6.4965,2.6036,Tour Eiffel Hotel Benin
327,Bentiu,SS,73.81,9.2333,29.8333,Mandela hôtel
330,Matay,EG,69.85,28.419,30.7792,Nag Aespen
332,Nacala,MZ,74.21,-14.5428,40.6728,Nacala Plaza Business Design Hotel
333,Benghazi,LY,72.32,32.1167,20.0667,Tibesti Hotel
334,Jodhpur,IN,74.19,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
335,Dondo,MZ,76.51,-19.6094,34.7431,Pensao Casual
336,Gat,IL,79.48,31.61,34.7642,OlusHome
339,Vila Praia De Ancora,PT,68.72,41.811,-8.8526,Hotel Meira
344,Angoche,MZ,75.38,-16.2325,39.9086,Guest House HESADA
345,Touros,BR,78.15,-5.1989,-35.4608,INN NEW HORIZON
346,Cockburn Town,TC,80.19,21.4612,-71.1419,Osprey Beach Hotel
351,Rio Bueno,CL,60.94,-40.3167,-72.9667,Hostal Caulle
356,Menongue,AO,64.81,-14.6585,17.691,Ritz Lauca
357,Port Said,EG,75.18,31.2565,32.2841,Aracan Hotel
359,Axim,GH,77.95,4.8699,-2.2405,Axim Beach Resort And Spa
360,Mweka,CD,70.7,-4.85,21.5667,Guest House Boshab
361,Natal,BR,81.25,-5.795,-35.2094,Villa Park Hotel | Natal
362,Jardim,BR,79.7,-21.4803,-56.1381,Estancia Hotel - Jardim MS
364,La Libertad,EC,69.57,-2.2333,-80.9,Playa Canela Hotel Boutique
367,Bengkulu,ID,73.99,-3.8004,102.2655,Grage Hotel Bengkulu
370,Tulnici,RO,55.98,45.9167,26.6667,Pensiunea Daiana
371,Tahoua,NE,83.23,14.8888,5.2692,Bungalows Guesthouse
373,Abonnema,NG,76.98,4.7084,6.7931,Corper's Lodge Obonoma
374,Torbat-E Jam,IR,55.29,35.244,60.6225,White building
376,Dhidhdhoo,MV,80.24,6.8833,73.1,Dhidhoo beach
377,Port-Gentil,GA,78.76,-0.7193,8.7815,Fengshui Residence
378,Clarence Town,AU,73.94,-32.5833,151.7833,River Downs Cottage
380,Doba,TD,73.69,8.65,16.85,Restaurant Auberge La Pétrolière
382,Torata,PE,62.64,-17.0769,-70.8433,Lodging Sra. Tina Vera
384,Mongu,ZM,77.45,-15.2484,23.1274,Country Lodge Mongu
385,Alma,CA,60.93,48.5501,-71.6491,Hotel Universel
387,Hopkinsville,US,66.24,36.8656,-87.4886,Hampton Inn & Suites Hopkinsville
389,Barra Da Estiva,BR,66.42,-13.6261,-41.3269,Pousada Central
393,Bloemhof,ZA,70.74,-27.6469,25.607,Victory Towers
394,Nantucket,US,69.91,41.2835,-70.0995,Jared Coffin House
396,Marsabit,KE,70.45,2.3284,37.9899,Chicho Hotel
397,Obzor,BG,68.27,42.8167,27.8833,HVD Clubhotel Miramar
399,Chimoio,MZ,71.46,-19.1164,33.4833,Residencial Dabhad
400,Calabozo,VE,81.82,8.9242,-67.4293,Hotel Giardini
401,Acari,PE,69.94,-15.4311,-74.6158,HOSPEDAJE XIMENA
402,Miraflores,MX,80.98,19.2167,-98.8083,Hotel Mansión
404,Trincomalee,LK,78.96,8.5711,81.2335,Welcombe Hotel
406,Moyale,KE,70.18,3.5167,39.0584,La Tahzan Guest House
409,Bardiyah,LY,70.0,31.7561,25.0865,بورتو بردية
410,Benicarlo,ES,68.56,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
411,Shakawe,BW,80.4,-18.3667,21.85,EdenWood Lodge
412,Nhlangano,SZ,64.11,-27.1167,31.2,Nhlangano BnB
416,Olinda,BR,80.33,-8.0089,-34.8553,Flat Quatro Rodas Olinda
419,Quinchia,CO,68.07,5.3396,-75.7302,Aparta Hotel la Plazuela
420,Kulhudhuffushi,MV,80.04,6.6221,73.07,Haajy Guest House 1
421,Talcahuano,CL,56.88,-36.7167,-73.1167,departamento comodo
423,Muscat,OM,78.82,23.6139,58.5922,Mutrah Hotel
424,Matagami,CA,66.31,49.7502,-77.6328,Motel Le Caribou
428,Chokwe,MZ,81.37,-24.5333,32.9833,Complexo Sonho Real
429,Posse,BR,78.67,-14.0931,-46.3694,Pousada das Palmeiras
430,Antalaha,MG,70.54,-14.9003,50.2788,Hotel Vitasoa
431,Santa Rosa,PH,76.98,14.3122,121.1114,Erlyn’s Sta Rosa City Home
432,Pokaran,IN,74.82,26.9167,71.9167,Motel Pokaran - RTDC
433,Mount Dora,US,84.85,28.8025,-81.6445,Lakeside Inn
434,Santa Maria,BR,79.9,-29.6842,-53.8069,Hotel Morotin
435,Baglung,NP,57.65,28.2719,83.5898,Hotel Peace Palace
437,Havelock,US,66.15,34.8791,-76.9013,Sherwood Motel
438,Marsaxlokk,MT,71.08,35.8419,14.5431,Water's Edge
440,Abaetetuba,BR,81.27,-1.7181,-48.8825,Hotel Joanayna
441,Wanlaweyn,SO,76.6,2.6185,44.8938,GAASHAAN HOME
442,Caceres,ES,60.67,39.522,-6.3748,Ahc Hoteles
443,Saint-Joseph,RE,68.38,-21.3667,55.6167,"""Plantation Bed and Breakfast"
444,Damietta,EG,75.09,31.4165,31.8133,SULIMAN INN
445,Mecca,SA,80.44,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
446,Samana,DO,80.82,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
447,Buraydah,SA,75.65,26.326,43.975,Mövenpick Qassim
448,Mandalgarh,IN,68.95,25.2,75.1,दुर्गा टेंट हाऊस
449,Mount Pleasant,US,74.3,32.7941,-79.8626,Best Western Patriots Point
450,Araguaina,BR,75.63,-7.1911,-48.2072,Hotel São Vicente
451,Kaliua,TZ,79.02,-5.0606,31.7936,Millennium Complex
454,Ilave,PE,58.57,-16.0833,-69.6667,Hostal Magestad
458,Trairi,BR,78.66,-3.2778,-39.2689,janelas do mar
460,Saint Stephen,GB,59.27,50.3333,-4.9,4 stepaside corner
461,Beba,CU,84.47,22.4437,-79.7253,Hostal Cubaustria
462,Alta Floresta,BR,73.51,-9.8756,-56.0861,Floresta Amazonica Hotel
464,Ler,SS,73.85,8.3018,30.1418,Leer Humanitarian Hub
465,Fort Erie,CA,75.15,42.9001,-78.9329,Buffalo Grand Hotel & Event Center
467,Yining,CN,60.04,29.0361,114.5636,Xiushui Hotel
469,Doha,QA,82.38,25.2867,51.5333,Mövenpick Doha
470,Bafoulabe,ML,83.07,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
471,Llanes,ES,66.88,43.4198,-4.7549,Hotel La Paz
472,Piracanjuba,BR,80.69,-17.3028,-49.0167,Casas Luci
479,Ugoofaaru,MV,80.53,5.6667,73.0,Ungoofaaru Inn
481,Dingle,PH,75.97,10.9995,122.6711,SEGAYA PROPERTY
482,Yendi,GH,77.49,9.4427,-0.0099,Eyarro Lodge
484,Tres Arroyos,AR,70.81,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
485,Buchanan,LR,78.57,5.8808,-10.0467,Kamaneahn Hotel Inc
486,Manjeshwar,IN,74.35,12.7194,74.8861,Mangalore Beach House - EWA Ikigai
491,Domoni,KM,75.0,-12.2569,44.5319,Al Djadid
492,Luau,AO,71.22,-10.7073,22.2247,Kimbo Hotel
493,Udala,ES,69.39,43.0778,-2.5125,Hotel Arrasate
494,Bataipora,BR,76.01,-22.2953,-53.2711,Hotel Vale do Ivinhema
495,Gloucester,GB,60.19,51.8657,-2.2431,Edward Hotel
496,Harper,LR,77.25,4.375,-7.7169,Screensaver
500,Carballo,ES,65.89,43.213,-8.691,Pazo do Souto
501,Teguise,ES,70.02,29.0605,-13.564,B&B La Casona de Nazaret
502,Eirunepe,BR,83.03,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
503,Mahibadhoo,MV,81.37,3.7833,72.9667,Omadhoo Inn
505,Bam,IR,73.58,29.106,58.357,Bam Tourist Hotel
506,Vermilion,US,63.3,40.1667,-87.7506,Sparkling Springs Cabin
507,Floresta,BR,83.07,-8.6011,-38.5686,Hotel Floresta
508,Benguela,AO,76.68,-12.5763,13.4055,Hotel Praia Morena
512,Riyadh,SA,73.54,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
513,Muyinga,BI,64.08,-2.8333,30.3333,Hotel Icizanye
515,Santa Luzia,BR,79.7,-19.7697,-43.8514,Pousada Chao Earth
516,Jaguaruna,BR,64.65,-28.615,-49.0256,Pousada Recanto das Flores Jaguaruna
518,Jaque,PA,79.21,7.5175,-78.1703,Aventuras Jaque S.A
521,Eyl,SO,78.64,7.9803,49.8164,EYL AQUE SYSTEM
523,Moville,US,59.7,42.4889,-96.0725,EastSide Acres Mobile Home Park
