City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Sakakah,SA,29.9697,40.2064,74.77,32,65,9.75,broken clouds
221,West Bay,KY,19.3667,-81.4167,87.87,70,20,9.22,few clouds
222,Kavaratti,IN,10.5669,72.642,81.9,61,95,7.96,overcast clouds
223,Grindavik,IS,63.8424,-22.4338,46.35,81,99,10.36,overcast clouds
224,Henties Bay,NA,-22.116,14.2845,57.9,95,84,4.38,broken clouds
225,Hanko,FI,59.8333,22.95,49.05,93,96,13.04,overcast clouds
226,Saryozek,KZ,44.3583,77.9753,43.03,65,100,5.73,overcast clouds
227,Camapua,BR,-19.5314,-54.0439,81.86,40,0,5.59,clear sky
228,Betsiamites,CA,48.9413,-68.646,55.8,93,100,3.15,overcast clouds
229,East London,ZA,-33.0153,27.9116,64.36,69,100,10.67,overcast clouds
230,Peniche,PT,39.3558,-9.3811,66.29,91,0,16.6,clear sky
231,Luanshya,ZM,-13.1367,28.4166,70.84,51,100,2.89,overcast clouds
232,Cape Coast,GH,5.1053,-1.2466,78.93,86,84,5.93,light rain
233,Nanortalik,GL,60.1432,-45.2371,33.67,76,1,4.79,clear sky
234,Kenitra,MA,34.261,-6.5802,66.96,70,100,2.26,overcast clouds
235,Akureyri,IS,65.6835,-18.0878,40.93,75,75,6.91,broken clouds
236,Malakal,SS,9.5334,31.6605,72.79,72,51,3.6,broken clouds
237,Brigantine,US,39.4101,-74.3646,67.19,97,100,1.01,mist
238,Goya,AR,-29.14,-59.2626,82.9,35,0,8.93,clear sky
239,Roald,NO,62.5833,6.1333,52.75,93,75,3.44,broken clouds
240,Oriximina,BR,-1.7656,-55.8661,86.31,56,100,4.05,overcast clouds
241,Puerto Madryn,AR,-42.7692,-65.0385,61.9,46,98,15.61,overcast clouds
242,Sao Borja,BR,-28.6606,-56.0044,77.95,47,0,6.26,clear sky
243,Marsa Matruh,EG,31.3525,27.2453,66.4,77,20,5.75,few clouds
244,Umm Lajj,SA,25.0213,37.2685,78.39,62,0,6.2,clear sky
245,Alekseyevka,RU,50.6309,38.6903,48.36,90,100,5.93,light rain
246,Tabou,CI,4.423,-7.3528,77.04,91,50,7.14,moderate rain
247,Mango,US,27.9797,-82.3065,86.09,64,7,1.01,clear sky
248,Rio Branco,BR,-9.9747,-67.81,84.81,74,75,11.5,moderate rain
249,Reo,BF,12.3167,-2.4667,84.22,29,8,4.0,clear sky
250,Husavik,IS,66.0449,-17.3389,35.53,87,100,7.0,overcast clouds
251,Progreso,MX,21.2833,-89.6667,91.11,80,87,12.03,overcast clouds
252,Luanda,AO,-8.8368,13.2343,77.0,83,0,10.36,clear sky
253,Bud,US,39.447,-86.1758,71.31,76,100,13.27,moderate rain
254,Hammerfest,NO,70.6634,23.6821,32.45,74,0,3.44,clear sky
255,Malanje,AO,-9.5402,16.341,64.78,95,69,2.21,light rain
